word,CDC2013,CDC2014,CDC2015,CDC2016,ICML2013,ICML2014,ICML2015,ICML2016
system,0.004518340761055879,0.0043447788947192836,0.004429598938572194,0.004074359378915422,0.00029299199765606403,0.00022393822393822394,0.000264685641686224,0.0002616409105103686
model,0.001995200548508742,0.0015956717726439272,0.0017876678848257723,0.0016009726488904563,0.002353091981175264,0.0024942084942084944,0.002911542058548464,0.0026586092519601968
method,0.0013187064335504514,0.0014482596315730945,0.00145248015642094,0.001487280388317076,0.002279843981761248,0.002409266409266409,0.0018086852181891974,0.002194407636538575
control,0.0033984687464289794,0.0031163443857956763,0.0030213449407602245,0.003204265547996696,0.00014649599882803202,0.00010038610038610039,9.705140195161547e-05,0.00022788079302515972
learning,0.00013484173237344302,0.0002120665889089174,0.0001582830939689486,0.0002482667730888099,0.0027101759783185924,0.0021776061776061775,0.0020027880220924283,0.002067807195969042
data,0.00039766883784710317,0.0004293055336448816,0.00039803542748073834,0.0003573185332306236,0.001996007984031936,0.002030888030888031,0.002143953697658414,0.0018061662854586733
function,0.0010490229688035653,0.0012542962880588407,0.0011149647354577407,0.001064994849044521,0.0010987199912102401,0.0010733590733590734,0.0009087540364560357,0.001156284023868403
network,0.0011792937949948578,0.0010163679200146894,0.001473429389446242,0.0012946996204070648,0.000567671995458624,0.0006254826254826255,0.0007499426514443014,0.0014938851987204916
optimization problem,0.0007404868015083991,0.0011792971285666627,0.0012104001303507833,0.0009930670923552396,0.00128183998974528,0.0006486486486486486,0.0007411197967214272,0.0006752023497041769
linear,0.001167866529539481,0.0011767109506531392,0.0011615185866250786,0.0010765961001234373,0.000613451995092384,0.00047876447876447876,0.0006528912494926859,0.0005992420853624571
state,0.0013575591360987316,0.0014017084291296736,0.0014012709201368684,0.001580090396948407,0.00032045999743632,0.0002471042471042471,0.0002735084964090981,0.00022788079302515972
performance,0.0007976231287852817,0.0007370607053541642,0.0007355508484439376,0.0006775130630087148,0.000805727993554176,0.0008725868725868726,0.0008381711986730426,0.0009115231721006389
matrix,0.0005325105702205463,0.0006180965213320886,0.0005470077512162194,0.00042228553927255516,0.00082403999340768,0.0008262548262548263,0.001058742566744896,0.0008018027902737102
optimal,0.0011107302022625985,0.0009413687605225114,0.001024184725681432,0.0009605835893342739,0.000402863996777088,0.00043243243243243243,0.0004058513172522101,0.0003460412042233907
dynamic,0.0011998628728145354,0.0012387792205777004,0.0012243662857009845,0.0011647656083232016,0.00027467999780256004,0.00015444015444015445,8.822854722874133e-05,0.00027008093988167077
optimization,0.0005279396640383956,0.0006517168342078925,0.0006377877609925281,0.0006055853063194335,0.000943067992455456,0.000555984555984556,0.0006793598136613083,0.000793362760902408
condition,0.0010193120786195864,0.0010861947236798209,0.001173157049416913,0.0008747343313502929,0.000384551996923584,0.0002702702702702703,0.000264685641686224,0.00022788079302515972
controller,0.0014535481659238945,0.0012439515764047472,0.0011894508973254812,0.001271497118249232,4.577999963376e-05,7.722007722007722e-06,0,5.908020559911549e-05
neural network,0.0001188435607359159,6.20682699245612e-05,8.379693210120808e-05,0.00011137201035759696,0.000329615997363072,0.0005868725868725869,0.001129325404527889,0.0023969683414498282
optimal control,0.001435264541195292,0.0010344711654093532,0.000959009334047159,0.0011322821053022358,3.6623999707008004e-05,3.088803088803089e-05,3.5291418891496534e-05,6.752023497041769e-05
machine learning,1.8283624728602445e-05,2.0689423308187065e-05,3.724308093387025e-05,3.712400345253232e-05,0.0009155999926752001,0.001111969111969112,0.0014822395934428543,0.0010128035245562654
solution,0.0008044794880585077,0.0007861980857111085,0.0007867600847280092,0.0007981660742294449,0.000430331996557344,0.0003783783783783784,0.00041467417197508426,0.00021944076365385752
parameter,0.0006810650211404411,0.0006620615458619861,0.000661064686576197,0.0005800625539458175,0.000622607995019136,0.00044015444015444013,0.0005117255739266998,0.00045576158605031944
bound,0.0004045251971203291,0.0004137884661637413,0.0003887246572472708,0.000378200785172673,0.000805727993554176,0.0006563706563706564,0.0008911083270102875,0.000557041938505946
analysis,0.0005187978516740944,0.00046809820234773234,0.0005353692884243849,0.0005011740466091863,0.0006317639949458881,0.0006718146718146718,0.0005558398475410703,0.0005908020559911548
sufficient condition,0.0009141812364301222,0.0009206793372143244,0.0011172924280161076,0.0007888850733663119,0.00021974399824204802,0.00012355212355212355,0.00017645709445748267,0.00013504046994083539
design,0.0010147411724374356,0.0008275769323274826,0.0008496077838039152,0.0008816950819976427,0.00013733999890128002,0.00013127413127413129,0.00014116567556598614,0.00016880058742604423
stochastic,0.0004616615243972117,0.0004577534906936388,0.0005074369777239822,0.00047333104401978707,0.000347927997216576,0.00047876447876447876,0.0006352455400469376,0.0006498822615902703
learning algorithm,6.399268655010856e-05,9.310240488684179e-05,5.5864621400805384e-05,8.352900776819773e-05,0.001318463989452288,0.0010501930501930503,0.0006352455400469376,0.0007089624671893859
framework,0.0003770997600274254,0.0003956852207690776,0.0003794138870138032,0.00045940954272508745,0.0007141679942866561,0.00061003861003861,0.0005558398475410703,0.0004810816741642261
distribution,0.00021254713747000342,0.00023792836804415124,0.00027001233677055933,0.00022970477136254373,0.000613451995092384,0.0008648648648648649,0.0007499426514443014,0.0007680426727885013
task,0.00017369443492172324,0.00013965360733026269,0.00013500616838527967,0.0002018617687731445,0.000970535992235712,0.0007567567567567568,0.0006705369589384341,0.0007596026434171991
process,0.00031767797965946747,0.0004086161103366945,0.0004329508158562417,0.00038980203625158937,0.000558515995531872,0.0005173745173745174,0.0006793598136613083,0.0004895217035355283
stability,0.0008776139869729174,0.0008818866685114736,0.000875212401945951,0.0008584925798398099,9.155999926752e-05,6.94980694980695e-05,4.411427361437067e-05,6.752023497041769e-05
nonlinear,0.000905039424065821,0.0008534387114627164,0.0008286585507786132,0.0006589510612824487,0.000100715999194272,0.00013127413127413129,4.411427361437067e-05,0.00017724061679734646
lower bound,0.00033824705747914527,0.0003206860612768995,0.00032587695817136474,0.00025986802416772626,0.00036623999707008,0.0004942084942084942,0.0008822854722874133,0.0007089624671893859
linear system,0.0009324648611587248,0.0008896452022520438,0.0007448616186774051,0.0007053560655981142,3.6623999707008004e-05,9.266409266409266e-05,0.00014116567556598614,0.00013504046994083539
information,0.0005073705862187178,0.00044740877903954527,0.0005656292916831545,0.0006635915617140152,0.00029299199765606403,0.00043243243243243243,0.00024703993224047574,0.0004979617329068305
constraint,0.0005347960233116215,0.0007008542145648368,0.0007029631526268011,0.0007331990681875134,0.00022889999816880002,0.00021621621621621621,0.00017645709445748267,0.00030384105736687965
example,0.0006193577876814078,0.0006672339016890328,0.0006564093014594632,0.000635748559124616,0.00025636799794905604,0.0003166023166023166,0.0002558627869633499,0.00017724061679734646
structure,0.0003725288538452748,0.00038792668702850746,0.000363120039105235,0.00030627302848339167,0.000604295995165632,0.0006254826254826255,0.0005117255739266998,0.00040512140982250616
data set,2.742543709290367e-05,8.275769323274826e-05,4.655385116733782e-05,2.784300258939924e-05,0.0011719679906242561,0.0008648648648648649,0.0007411197967214272,0.0006076821147337593
numerical example,0.0007130613644154954,0.0010241264537552597,0.0009031447126463536,0.0008816950819976427,0,0,3.5291418891496534e-05,0
application,0.00031767797965946747,0.0003672372637203204,0.0003561369614301343,0.0003596387834464069,0.000540203995678368,0.0004633204633204633,0.0006175998306011893,0.0005232818210207372
